model,router_type,training_method,target_density,lambda_density,lambda_grpo,num_seeds,val_loss_mean,val_loss_std,val_perplexity_mean,val_perplexity_std,val_accuracy_mean,val_accuracy_std,layers_per_token_mean,layers_per_token_std,compute_fraction_mean,compute_fraction_std,skip_fraction_mean,skip_fraction_std,training_time_sec_mean,training_time_sec_std,seconds_per_step_mean,seconds_per_step_std,tokens_per_sec_mean,tokens_per_sec_std,generation_tokens_per_sec_mean,generation_tokens_per_sec_std
dense,none,supervised,1.0,0.0,nan,1,1.969000322818756,0.0,7.163511708517262,0.0,0.41943359375,0.0,4.0,0.0,1.0,0.0,0.0,0.0,59.878805834334344,0.0,0.05669463155604899,0.0,68404.83778738561,0.0,110.79588146960258,0.0
sparse,linear,supervised,0.5,0.1,nan,1,3.019400177001953,0.0,20.479004221700777,0.0,0.18859375,0.0,4.6497412109375,0.0,0.5812176513671875,0.0,0.4187823486328125,0.0,191.6828885418363,0.0,0.12113739968789741,0.0,21368.626230327365,0.0,25.485301735592124,0.0
