step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.190114498138428,66.03035087985879,0.01220703125,,,,4.190114498138428,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,2.9999999999999997e-05,6.9717206954956055,0.0,6.9717206954956055,4096,1.4353313753381371,2853.6964149028368,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,train,3.4260168075561523,30.75389975635175,0.150146484375,,,,3.4260168075561523,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,6.599999999999999e-05,1.1547406911849976,0.0,1.1547406911849976,86016,0.16684120800346136,24550.289757642026,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,train,2.9535765647888184,19.174409755327822,0.242431640625,,,,2.9535765647888184,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00012599999999999997,1.0811846256256104,0.0,1.0811846256256104,167936,0.16280262498185039,25159.299491986887,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,train,2.7371726036071777,15.443259095041444,0.25732421875,,,,2.7371726036071777,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.000186,0.9603381752967834,0.0,0.9603381752967834,249856,0.1666522091254592,24578.13203614029,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,train,2.6200714111328125,13.736704503682972,0.26416015625,,,,2.6200714111328125,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00024599999999999996,0.9717231392860413,0.0,0.9717231392860413,331776,0.1635089167393744,25050.621591046518,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,train,2.5412096977233887,12.695018821198804,0.272705078125,,,,2.5412096977233887,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999999722532997,0.9704212546348572,0.0,0.9704212546348572,413696,0.1629993747919798,25128.930741159747,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,train,2.5003347396850586,12.186572607499494,0.281982421875,,,,2.5003347396850586,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999877638895945,0.7373322248458862,0.0,0.7373322248458862,495616,0.1632668748497963,25087.758945397065,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,train,2.478062629699707,11.91815216254565,0.291015625,,,,2.478062629699707,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999533604809292,1.0443977117538452,0.0,1.0443977117538452,577536,0.16355016641318798,25044.303468649457,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,train,2.4930078983306885,12.097609829410695,0.277099609375,,,,2.4930078983306885,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002998967676840031,0.7933561205863953,0.0,0.7933561205863953,659456,0.16336483415216208,25072.715442448793,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,train,2.432192802429199,11.383817193116315,0.286865234375,,,,2.432192802429199,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002998179948039535,0.7986512780189514,0.0,0.7986512780189514,741376,0.16412420896813273,24956.708250123553,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,train,2.4509501457214355,11.59936256978007,0.2841796875,,,,2.4509501457214355,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029971705479282546,0.7281901836395264,0.0,0.7281901836395264,823296,0.1651739999651909,24798.09171457493,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220,train,2.3896822929382324,10.910027199681295,0.30126953125,,,,2.3896822929382324,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029959396424744254,0.7225973010063171,0.0,0.7225973010063171,905216,0.16352470871061087,25048.20239275691,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240,train,2.387871265411377,10.890286720774712,0.300048828125,,,,2.387871265411377,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002994487434066776,0.6694921851158142,0.0,0.6694921851158142,987136,0.1635926249437034,25037.803515956435,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
249,validation,,,,2.370513119697571,10.702882735313537,0.310380859375,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,2.189870832953602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,train,2.3773627281188965,10.776444939566238,0.295166015625,,,,2.3773627281188965,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029928141614812506,1.0213817358016968,0.0,1.0213817358016968,1069056,0.162944708019495,25137.361315900773,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
280,train,2.340381145477295,10.385194078243119,0.3154296875,,,,2.340381145477295,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029909200998417515,0.8785144686698914,0.0,0.8785144686698914,1150976,0.16523100016638637,24789.53704737827,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
