step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability
0,train,4.18373966217041,65.61075706592969,0.046875,,,,4.184081554412842,0.00341796875,0.1,0.5,0.4994657635688782,0.515625,2.0625,0.515625,0.484375,0.6906895637512207,0.1,2.150758981704712,0.027164481580257416,2.150587320327759,64,0.16601566690951586,385.5057850346266,,0.546875,0.53125,0.484375,0.5,0.4799637496471405,0.5144126415252686,0.49075618386268616,0.5127305388450623
1,train,4.1318817138671875,62.29503414491806,0.046875,,,,4.133932590484619,0.0205078125,0.1,0.5,0.4950912296772003,0.5234375,2.09375,0.5234375,0.4765625,0.6906468868255615,0.1,2.146550178527832,0.03244209662079811,2.1463048458099365,128,0.024917833041399717,2568.441641521044,,0.625,0.53125,0.4375,0.5,0.47375643253326416,0.50675368309021,0.494528204202652,0.5053266286849976
1,validation,,,,4.030447959899902,56.286119525025796,0.09375,,0.2498779296875,,0.5,0.5051652491092682,0.576171875,2.3046875,0.576171875,0.423828125,0.6902379393577576,,,,,,,,2.2175012500956655,0.21875,0.7109375,0.53125,0.84375,0.4728235602378845,0.5282976031303406,0.5050944685935974,0.514445424079895
