model,router_type,training_method,seed,target_density,actual_density,lambda_density,lambda_grpo,val_loss,val_perplexity,val_accuracy,layers_per_token,compute_fraction,skip_fraction,parameter_count,active_parameter_estimate,training_time_sec,seconds_per_step,tokens_per_sec,generation_tokens_per_sec,generation_ms_per_token,mean_reward,pearson_nll_depth,spearman_nll_depth,checkpoint,source,paper_reproduction,n_layers,effective_target_depth,learning_rate,estimated_executed_block_flops_per_sequence,dense_block_flops_per_sequence
dense,none,supervised,42,1.0,1.0,0.0,nan,2.148904881477356,8.575462105698358,0.3693798828125,4.0,1.0,0.0,1344384,1344384.0,59.28583687543869,0.05607586762681603,69089.01376572988,109.03071422567024,9.1717274999246,nan,nan,nan,experiments/paper_core_scaled_lr001_1000/paper_dense_L04_seed42/checkpoints/best_val_loss.pt,experiments/paper_core_scaled_lr001_1000/paper_dense_L04_seed42/summary.json,True,nan,nan,nan,369098752.0,369098752.0
sparse,linear,supervised,42,0.5,0.5571759033203125,0.1,nan,2.1458590984344483,8.549382844678211,0.3703955078125,4.4574072265625,0.5571759033203125,0.4428240966796875,2665856,1496928.8,195.48475349973887,0.11854521972034127,20953.040718878732,26.05062043619921,38.38680166751146,nan,-0.005088361082097534,-0.008577833602069599,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42/checkpoints/best_val_loss.pt,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42/summary.json,True,nan,nan,nan,441450496.0,738197504.0
