model,router_type,training_method,target_density,lambda_density,lambda_grpo,num_seeds,val_loss_mean,val_loss_std,val_perplexity_mean,val_perplexity_std,val_accuracy_mean,val_accuracy_std,layers_per_token_mean,layers_per_token_std,compute_fraction_mean,compute_fraction_std,skip_fraction_mean,skip_fraction_std,training_time_sec_mean,training_time_sec_std,seconds_per_step_mean,seconds_per_step_std,tokens_per_sec_mean,tokens_per_sec_std,generation_tokens_per_sec_mean,generation_tokens_per_sec_std
dense,none,supervised,1.0,0.0,nan,1,2.148904881477356,0.0,8.575462105698358,0.0,0.3693798828125,0.0,4.0,0.0,1.0,0.0,0.0,0.0,59.28583687543869,0.0,0.05607586762681603,0.0,69089.01376572988,0.0,109.03071422567024,0.0
sparse,linear,supervised,0.5,0.1,nan,1,2.1458590984344483,0.0,8.549382844678211,0.0,0.3703955078125,0.0,4.4574072265625,0.0,0.5571759033203125,0.0,0.4428240966796875,0.0,195.48475349973887,0.0,0.11854521972034127,0.0,20953.040718878732,0.0,26.05062043619921,0.0
