model,router_type,training_method,target_density,lambda_density,lambda_grpo,num_seeds,val_loss_mean,val_loss_std,val_perplexity_mean,val_perplexity_std,val_accuracy_mean,val_accuracy_std,layers_per_token_mean,layers_per_token_std,compute_fraction_mean,compute_fraction_std,skip_fraction_mean,skip_fraction_std,training_time_sec_mean,training_time_sec_std,seconds_per_step_mean,seconds_per_step_std,tokens_per_sec_mean,tokens_per_sec_std,generation_tokens_per_sec_mean,generation_tokens_per_sec_std
dense,none,supervised,1.0,0.0,nan,1,2.1560086846351623,0.0,8.636597389902828,0.0,0.3615234375,0.0,8.0,0.0,1.0,0.0,0.0,0.0,118.47831495897844,0.0,0.11284341486124322,0.0,34571.72733607991,0.0,98.49776929176404,0.0
mor,expert_linear,grpo,nan,nan,1.0,1,2.172021222114563,0.0,8.776004380468073,0.0,0.355615234375,0.0,5.19580078125,0.0,0.64947509765625,0.0,0.35052490234375,0.0,440.6437526666559,0.0,1.4284043201819683,0.0,2091.485456046359,0.0,55.48333727952263,0.0
mor,expert_linear,supervised,0.75,0.0,nan,1,2.17036030292511,0.0,8.761440244660266,0.0,0.35498046875,0.0,5.48916015625,0.0,0.68614501953125,0.0,0.31385498046875,0.0,390.2061147503555,0.0,0.3349586663730443,0.0,10497.016436096914,0.0,66.72524032557651,0.0
sparse,linear,supervised,0.5,0.1,nan,1,2.13893266916275,0.0,8.4903707565425,0.0,0.372119140625,0.0,4.462548828125,0.0,0.557818603515625,0.0,0.442181396484375,0.0,195.48475349973887,0.0,0.11854521972034127,0.0,20953.040718878732,0.0,31.704904284485988,0.0
sparse,linear,grpo,0.5,0.1,1.0,1,2.145213317871094,0.0,8.543863601710168,0.0,0.370556640625,0.0,4.3845703125,0.0,0.5480712890625,0.0,0.4519287109375,0.0,317.88353087520227,0.0,0.9638111371872946,0.0,3865.566726960806,0.0,32.236727631516885,0.0
