model,router_type,training_method,seed,target_density,actual_density,lambda_density,lambda_grpo,val_loss,val_perplexity,val_accuracy,layers_per_token,compute_fraction,skip_fraction,parameter_count,active_parameter_estimate,training_time_sec,seconds_per_step,tokens_per_sec,generation_tokens_per_sec,generation_ms_per_token,mean_reward,pearson_nll_depth,spearman_nll_depth,checkpoint,source,paper_reproduction,n_layers,effective_target_depth,learning_rate,estimated_executed_block_flops_per_sequence,dense_block_flops_per_sequence,grpo_variant,depth_budgets,exploration_epsilon,ppo_clip_epsilon,clip_fraction,mean_probability_ratio,mor_reproduction,experiment_family,recursion_steps,recursion_block_layers,mor_capacity_factors,mor_aux_loss_coefficient,recursion_utilization,recursion_soft_utilization,mean_recursions_per_token,mor_router_accuracy,mor_aux_loss,estimated_flops_vs_full_dense
dense,none,supervised,42,1.0,1.0,0.0,nan,2.1560086846351623,8.636597389902828,0.3615234375,8.0,1.0,0.0,2663808,2663808.0,118.47831495897844,0.11284341486124322,34571.72733607991,98.49776929176404,10.152514185756445,nan,nan,nan,experiments/mor_comparison_seed42/full_dense_L08_seed42/checkpoints/best_val_loss.pt,experiments/mor_comparison_seed42/full_dense_L08_seed42/summary.json,True,8,8.0,0.01,738197504.0,738197504.0,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
mor,expert_linear,grpo,42,nan,0.64947509765625,nan,1.0,2.172021222114563,8.776004380468073,0.355615234375,5.19580078125,0.64947509765625,0.35052490234375,1344771,1344771,440.6437526666559,1.4284043201819683,2091.485456046359,55.48333727952263,18.023429177701473,-2.8264100551605225,-0.13157773959435856,-0.1466688974576479,experiments/mor_comparison_seed42/mor_grpo_clip0p5_lam1_seed42/checkpoints/best_quality_compute.pt,experiments/mor_comparison_seed42/mor_grpo_clip0p5_lam1_seed42/summary.json,True,8,nan,1e-05,475458277.0,nan,mor_budget_guided_per_decision,nan,0.8,0.5,0.3393782377243042,1.0299923419952393,True,mor_comparison,3,2,"[1.0, 0.6666666667, 0.3333333333]",nan,"[1.0, 0.59619140625, 0.001708984375]","[0.7383931279182434, 0.5389382243156433, 0.09417344629764557]",1.597900390625,0.7714595317840576,1.7530938744544984,0.6440800387750972
mor,expert_linear,supervised,42,0.75,0.68614501953125,0.0,nan,2.17036030292511,8.761440244660266,0.35498046875,5.48916015625,0.68614501953125,0.31385498046875,1344771,1344771,390.2061147503555,0.3349586663730443,10497.016436096914,66.72524032557651,14.986832495778799,nan,-0.13036034388984713,-0.1490161116841424,experiments/mor_comparison_seed42/mor_middle_cycle_R3_seed42/checkpoints/best_val_loss.pt,experiments/mor_comparison_seed42/mor_middle_cycle_R3_seed42/summary.json,True,8,6.0,0.01,502929337.76549315,738197504.0,nan,nan,nan,nan,nan,nan,True,mor_comparison,3,2,"[1.0, 0.6666666667, 0.3333333333]",0.001,"[1.0, 0.724853515625, 0.01972656324505806]","[0.7104313373565674, 0.6147615909576416, 0.1681843101978302]",1.7445800304412842,0.8207871496677399,1.4037995398044587,0.6812937391962425
sparse,linear,supervised,42,0.5,0.557818603515625,0.1,nan,2.13893266916275,8.4903707565425,0.372119140625,4.462548828125,0.557818603515625,0.442181396484375,2665856,1499006.5062499999,195.48475349973887,0.11854521972034127,20953.040718878732,31.704904284485988,31.54086166061461,nan,-0.0024742058092065587,-0.005067501996472867,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42/checkpoints/best_val_loss.pt,experiments/mor_comparison_seed42/skiplayer_L08_seed42/summary.json,True,nan,nan,nan,441978880.0,738197504.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5987271395596591
sparse,linear,grpo,42,0.5,0.5480712890625,0.1,1.0,2.145213317871094,8.543863601710168,0.370556640625,4.3845703125,0.5480712890625,0.4519287109375,2665856,1473284.825,317.88353087520227,0.9638111371872946,3865.566726960806,32.236727631516885,31.02051831781864,-3.194185733795166,-0.01817391174708862,-0.020251345630223957,experiments/mor_comparison_seed42/skiplayer_grpo_clip0p5_lam1_seed42/checkpoints/best_quality_compute.pt,experiments/mor_comparison_seed42/skiplayer_grpo_clip0p5_lam1_seed42/summary.json,True,8,nan,1e-05,435437568.0,nan,budget_guided_per_decision,"[3, 4, 5, 8]",0.8,0.5,0.5665283203125,1.0001475811004639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5898659446022727
