model,router_type,training_method,seed,target_density,actual_density,lambda_density,lambda_grpo,val_loss,val_perplexity,val_accuracy,layers_per_token,compute_fraction,skip_fraction,parameter_count,active_parameter_estimate,training_time_sec,seconds_per_step,tokens_per_sec,generation_tokens_per_sec,generation_ms_per_token,mean_reward,pearson_nll_depth,spearman_nll_depth,checkpoint,source,paper_reproduction,n_layers,effective_target_depth,learning_rate,estimated_executed_block_flops_per_sequence,dense_block_flops_per_sequence
dense,none,supervised,42,1.0,1.0,0.0,nan,3.514523148536682,33.59990194081188,0.109375,2.0,1.0,0.0,44704,44704.0,1.0104799158871174,0.044297456135973336,1266.7248303260599,4.991652499979757,200.33445837907493,nan,nan,nan,experiments/paper_smoke/paper_dense_L02_seed42/checkpoints/best_val_loss.pt,experiments/paper_smoke/paper_dense_L02_seed42/summary.json,True,nan,nan,nan,1376256.0,1376256.0
sparse,linear,supervised,42,0.5,0.96484375,0.1,nan,3.477164149284363,32.36780154783561,0.1171875,3.859375,0.96484375,0.03515625,87008,84051.5,1.181630958802998,0.04667746028862894,1083.2485307397926,58.82540402565849,16.999458253849298,nan,-0.2860499228923557,-0.3281070393772656,experiments/paper_smoke/paper_skip_L04_P050_Eff02_seed42/checkpoints/best_val_loss.pt,experiments/paper_smoke/paper_skip_L04_P050_Eff02_seed42/summary.json,True,nan,nan,nan,2673152.0,2752512.0
