model,router_type,training_method,seed,target_density,actual_density,lambda_density,lambda_grpo,val_loss,val_perplexity,val_accuracy,layers_per_token,compute_fraction,skip_fraction,parameter_count,active_parameter_estimate,training_time_sec,seconds_per_step,tokens_per_sec,generation_tokens_per_sec,generation_ms_per_token,mean_reward,pearson_nll_depth,spearman_nll_depth,checkpoint,source
dense,none,supervised,42,1.0,1.0,0.0,nan,4.019653797149658,55.68182528287339,0.09375,2.0,1.0,0.0,44704,44704.0,0.5701841250993311,0.2470299790147692,224.48888765133765,79.31200194176463,12.608432210981846,nan,nan,nan,experiments/paper_sparse_smoke/paper_dense_L02_seed42/checkpoints/best_val_loss.pt,experiments/paper_sparse_smoke/paper_dense_L02_seed42/summary.json
sparse,linear,supervised,42,0.5,0.576171875,0.1,nan,4.030447959899902,56.286119525025796,0.09375,2.3046875,0.576171875,0.423828125,87008,51365.75,2.515529166907072,0.09546674997545779,50.883926008053535,7.627674157218269,131.10156246693805,nan,-0.19936080834433703,-0.18508928304203434,experiments/paper_sparse_smoke/paper_skip_L04_P050_Eff02_seed42/checkpoints/best_val_loss.pt,experiments/paper_sparse_smoke/paper_skip_L04_P050_Eff02_seed42/summary.json
