step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability
360,train,2.512904644012451,12.340723460310901,0.26806640625,,,,2.512904644012451,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.7556437253952026,0.0,0.7556437253952026,1478656,0.05627004196867347,72791.84192327982,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
380,train,2.461435317993164,11.721623729123289,0.28662109375,,,,2.461435317993164,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.3500228524208069,0.0,0.3500228524208069,1560576,0.05599537491798401,73148.8985652722,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
399,validation,,,,2.5322131872177125,12.581320163458448,0.25732421875,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.2689316659234464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,train,2.4754841327667236,11.887460829506404,0.258544921875,,,,2.4754841327667236,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.7238743305206299,0.0,0.7238743305206299,1642496,0.05074429186061025,80718.43846498683,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
420,train,2.4924156665802,12.090447361894382,0.26416015625,,,,2.4924156665802,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.7646327018737793,0.0,0.7646327018737793,1724416,0.05834070825949311,70208.26661516412,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,train,2.3880069255828857,10.891764199154252,0.2998046875,,,,2.3880069255828857,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.6398136615753174,0.0,0.6398136615753174,1806336,0.056034000124782324,73098.47576254778,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,train,2.289043426513672,9.865496094114102,0.332763671875,,,,2.289043426513672,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.4262569546699524,0.0,0.4262569546699524,1888256,0.05336949974298477,76747.95566241755,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
480,train,2.2517099380493164,9.503973155315387,0.352783203125,,,,2.2517099380493164,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.5783377885818481,0.0,0.5783377885818481,1970176,0.05689187487587333,71996.22105857209,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,train,2.14290189743042,8.52413794666228,0.3828125,,,,2.14290189743042,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.4466155469417572,0.0,0.4466155469417572,2052096,0.05489433370530605,74616.08008558601,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
520,train,2.21516752243042,9.162943981688246,0.3447265625,,,,2.21516752243042,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.621874988079071,0.0,0.621874988079071,2134016,0.054883666802197695,74630.58207758059,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540,train,2.058109760284424,7.83115305459753,0.3984375,,,,2.058109760284424,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.47553786635398865,0.0,0.47553786635398865,2215936,0.05620645917952061,72874.18670010117,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
560,train,1.9647817611694336,7.133355645077687,0.411376953125,,,,1.9647817611694336,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.35968664288520813,0.0,0.35968664288520813,2297856,0.050120041240006685,81723.79548503847,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
580,train,2.0321097373962402,7.630167038550449,0.390869140625,,,,2.0321097373962402,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.568009614944458,0.0,0.568009614944458,2379776,0.05484325019642711,74685.58091159309,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
599,validation,,,,2.138242983818054,8.48451709108635,0.37740478515625,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.2644684170372784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
600,train,2.0537424087524414,7.797026232465686,0.41064453125,,,,2.0537424087524414,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.4017430245876312,0.0,0.4017430245876312,2461696,0.05047316709533334,81152.0305881243,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
620,train,1.9474387168884277,7.010708156818849,0.43505859375,,,,1.9474387168884277,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.43857309222221375,0.0,0.43857309222221375,2543616,0.05447404179722071,75191.7769429949,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
640,train,1.9559838771820068,7.070872472553085,0.420166015625,,,,1.9559838771820068,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.367920458316803,0.0,0.367920458316803,2625536,0.056245916057378054,72823.06498167003,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
660,train,1.940547227859497,6.962560035153763,0.4375,,,,1.940547227859497,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.3753493130207062,0.0,0.3753493130207062,2707456,0.0563748748973012,72656.48052366827,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
680,train,2.0371475219726562,7.668703163218444,0.36865234375,,,,2.0371475219726562,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.5617096424102783,0.0,0.5617096424102783,2789376,0.055836249608546495,73357.36244314395,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,train,1.8907735347747803,6.624490973785324,0.431396484375,,,,1.8907735347747803,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.3418491780757904,0.0,0.3418491780757904,2871296,0.05616241693496704,72931.33421844969,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
720,train,1.8915472030639648,6.629618115481461,0.429931640625,,,,1.8915472030639648,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.44844314455986023,0.0,0.44844314455986023,2953216,0.05650116689503193,72494.07800036349,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
740,train,1.854407548904419,6.387912603505816,0.441650390625,,,,1.854407548904419,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.4003916084766388,0.0,0.4003916084766388,3035136,0.05592774972319603,73237.34676028248,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
760,train,1.8326743841171265,6.250580779287797,0.448486328125,,,,1.8326743841171265,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.31923907995224,0.0,0.31923907995224,3117056,0.05630045896396041,72752.51526141148,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
780,train,1.8498022556304932,6.3585620284354505,0.44287109375,,,,1.8498022556304932,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.3293894827365875,0.0,0.3293894827365875,3198976,0.05630337493494153,72748.7473838455,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
799,validation,,,,1.9745560944080354,7.203421304991959,0.41700439453125,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.2688079169020057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
800,train,1.8267245292663574,6.213501149512799,0.458251953125,,,,1.8267245292663574,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.3125949203968048,0.0,0.3125949203968048,3280896,0.05120916711166501,79985.67895213758,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
820,train,1.8139818906784058,6.134827072219994,0.45361328125,,,,1.8139818906784058,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.33826446533203125,0.0,0.33826446533203125,3362816,0.056288291700184345,72768.24142784538,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840,train,1.7940270900726318,6.0136211630473015,0.4609375,,,,1.7940270900726318,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.2548375725746155,0.0,0.2548375725746155,3444736,0.05644079204648733,72571.62508680492,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
860,train,1.8198421001434326,6.1708839912550255,0.455322265625,,,,1.8198421001434326,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.4567272961139679,0.0,0.4567272961139679,3526656,0.054360250011086464,75349.17516318714,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
880,train,1.755009651184082,5.783503559344912,0.46826171875,,,,1.755009651184082,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.3182545602321625,0.0,0.3182545602321625,3608576,0.060356459114700556,67863.49066992184,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
900,train,1.8290989398956299,6.228272081876943,0.45166015625,,,,1.8290989398956299,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.41988271474838257,0.0,0.41988271474838257,3690496,0.05626025004312396,72804.51112215786,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
920,train,1.7876312732696533,5.975281879975027,0.462890625,,,,1.7876312732696533,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.39950641989707947,0.0,0.39950641989707947,3772416,0.055546707939356565,73739.74357709607,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
940,train,1.9318881034851074,6.902530637938904,0.40380859375,,,,1.9318881034851074,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.6502365469932556,0.0,0.6502365469932556,3854336,0.05588154215365648,73297.90557206352,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
960,train,1.731205701828003,5.647458956762068,0.480712890625,,,,1.731205701828003,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.3439095616340637,0.0,0.3439095616340637,3936256,0.05473254155367613,74836.6489793473,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
980,train,1.8709505796432495,6.494466974110004,0.4365234375,,,,1.8709505796432495,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.49063271284103394,0.0,0.49063271284103394,4018176,0.05610987497493625,72999.62799470939,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
999,train,1.7613530158996582,5.820307037288409,0.470458984375,,,,1.7613530158996582,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.5675886869430542,0.0,0.5675886869430542,4096000,0.05279237497597933,77586.96216761779,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
999,validation,,,,2.0034847497940063,7.4148500272401465,0.40128173828125,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.2577808331698179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
