step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec
99,validation,,,,,,,,,,,,0.022642916068434715,,,,,,,,,,1.5183556795120239,4.564713169359675,0.547314453125,0.9953839093446731,1.0,8.0,1.0,0.0,0.5725775002501905
100,grpo_train,-1.4156014919281006,0.20437371730804443,-1.4106543064117432,-1.4248501062393188,1.316077470779419,0.09952393174171448,4.710657231044024e-05,1.1935830116271973e-05,0.999649703502655,-1.2292526662349701e-05,-1.1821461157524027e-05,0.022626005113124847,0.0,0.9999998807907104,9.775364585953467e-05,0.00332173565402627,0.00332173565402627,0.0,413696,0.38182400027289987,10727.455573962032,,,,,,,,,
110,grpo_train,-1.4004855155944824,0.13955684006214142,-1.3969316482543945,-1.403637409210205,1.3009157180786133,0.09956970810890198,5.5939530284376815e-05,-9.628012776374817e-06,0.9995229244232178,9.634997695684433e-06,1.0194393325946294e-05,0.022234134376049042,0.0,1.000000238418579,9.729153779888434e-05,0.0013880892656743526,0.0013880892656743526,0.0,454656,0.7014212077483535,5839.572506153119,,,,,,,,,
120,grpo_train,-1.3475303649902344,0.2690466046333313,-1.3451423645019531,-1.3497483730316162,1.2478842735290527,0.09964599460363388,5.7363205996807665e-05,-3.075879067182541e-05,0.9983100295066833,3.052584361284971e-05,3.1099476473173127e-05,0.022229205816984177,0.0,1.0000003576278687,9.678769309634573e-05,0.001839137403294444,0.001839137403294444,0.0,495616,0.6455428749322891,6345.047182853081,,,,,,,,,
130,grpo_train,-1.4646281003952026,0.23609620332717896,-1.4597960710525513,-1.4686458110809326,1.365058422088623,0.09956969320774078,4.981631354894489e-05,6.357207894325256e-06,0.9994606971740723,-6.931833922863007e-06,-6.43367093289271e-06,0.02259174920618534,0.0,0.999999463558197,9.624260898581037e-05,0.001682666246779263,0.001682666246779263,0.0,536576,0.6232196246273816,6572.321920140061,,,,,,,,,
140,grpo_train,-1.3622546195983887,0.06308592110872269,-1.3583920001983643,-1.3661527633666992,1.2627978324890137,0.099456787109375,3.747506343643181e-05,9.394250810146332e-06,0.9995286464691162,-9.277835488319397e-06,-8.903084562916774e-06,0.023401053622364998,0.0,1.0000004768371582,9.565682339948654e-05,0.0018063470488414168,0.0018063470488414168,0.0,577536,0.5765703748911619,7104.0764117878825,,,,,,,,,
150,grpo_train,-1.3986116647720337,0.1576550304889679,-1.3939943313598633,-1.4028537273406982,1.2990633249282837,0.09954833984375,3.7783291190862656e-05,-2.2659078240394592e-06,0.9994738101959229,2.062879502773285e-06,2.4407124783465406e-06,0.023005258291959763,0.0,1.000000238418579,9.503091443702521e-05,0.0012154631549492478,0.0012154631549492478,0.0,618496,0.5676523330621421,7215.684251493426,,,,,,,,,
160,grpo_train,-1.39234459400177,0.10107699036598206,-1.3889331817626953,-1.3957016468048096,1.2928175926208496,0.09952697157859802,4.2601881432347e-05,9.494367986917496e-06,0.9995713233947754,-9.57585871219635e-06,-9.149839570454787e-06,0.022690270096063614,0.0,0.9999996423721313,9.43654997950054e-05,0.0011085488367825747,0.0011085488367825747,0.0,659456,0.569446416106075,7192.95070466649,,,,,,,,,
170,grpo_train,-1.425917148590088,0.2557711899280548,-1.4222252368927002,-1.4301732778549194,1.3263475894927979,0.09956970065832138,5.292430432746187e-05,4.515983164310455e-06,0.9996176958084106,-5.00725582242012e-06,-4.478012670006137e-06,0.02296696975827217,0.0,0.9999994039535522,9.36612361573423e-05,0.001840186188928783,0.001840186188928783,0.0,700416,0.5850568753667176,7001.028741748569,,,,,,,,,
180,grpo_train,-1.3846231698989868,0.19919122755527496,-1.3806778192520142,-1.3885478973388672,1.2851084470748901,0.09951476752758026,6.003484668326564e-05,1.0445713996887207e-05,0.9995895624160767,-1.043267548084259e-05,-9.832327123149298e-06,0.023352904245257378,0.0,1.000000238418579,9.29188185472195e-05,0.001475344062782824,0.001475344062782824,0.0,741376,0.6486552907153964,6314.602006070985,,,,,,,,,
190,grpo_train,-1.4388017654418945,0.173097625374794,-1.433594822883606,-1.4442346096038818,1.3392901420593262,0.09951171278953552,4.790580351254903e-05,-1.232372596859932e-06,0.9996972680091858,8.285278454422951e-07,1.3075858760203118e-06,0.023152638226747513,0.0,1.000000238418579,9.213897964118503e-05,0.001523310667835176,0.001523310667835176,0.0,782336,0.6185122081078589,6622.343013293799,,,,,,,,,
199,validation,,,,,,,,,,,,0.023230443242937326,,,,,,,,,,1.5183556795120239,4.564713169359675,0.547314453125,0.9952163755893707,1.0,8.0,1.0,0.0,0.5554257500916719
200,grpo_train,-1.3908811807632446,0.11917364597320557,-1.388068675994873,-1.3943835496902466,1.2913572788238525,0.09952392429113388,5.070604311185889e-05,2.1337531507015228e-05,0.9993641376495361,-2.1762680262327194e-05,-2.1255620595184155e-05,0.023287691175937653,0.0,1.0000004768371582,9.132248904608807e-05,0.0012541910400614142,0.0012541910400614142,0.0,823296,0.5233045830391347,7827.181593197866,,,,,,,,,
210,grpo_train,-1.3232723474502563,0.12488062679767609,-1.3204209804534912,-1.3255559206008911,1.2237026691436768,0.09956970810890198,5.688875535270199e-05,-1.259148120880127e-06,0.9994542002677917,1.084059476852417e-06,1.652947048569331e-06,0.02323785610496998,0.0,0.9999995827674866,9.047015253956986e-05,0.0012254948960617185,0.0012254948960617185,0.0,864256,0.5949073750525713,6885.105432821439,,,,,,,,,
220,grpo_train,-1.3689281940460205,0.15068070590496063,-1.3657501935958862,-1.3727500438690186,1.269425630569458,0.0995025634765625,6.639192724833265e-05,-1.517217606306076e-05,0.9994971752166748,1.4948658645153046e-05,1.561257704452146e-05,0.023041747510433197,0.0,0.9999997019767761,8.958281127485851e-05,0.0026889119762927294,0.0026889119762927294,0.0,905216,0.6124652503058314,6687.726361544076,,,,,,,,,
230,grpo_train,-1.4853847026824951,0.17724132537841797,-1.4831156730651855,-1.488251805305481,1.3858211040496826,0.0995636060833931,7.321682642214e-05,-3.081653267145157e-05,0.9990705251693726,2.9857270419597626e-05,3.058943912037648e-05,0.023013170808553696,0.0,0.9999995827674866,8.866134095065227e-05,0.006973242852836847,0.006973242852836847,0.0,946176,0.6461757500655949,6338.832739520486,,,,,,,,,
