step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.16602897644043,64.45897509757324,0.0234375,,,,4.16602897644043,0.1604732871055603,0.0,0.5,0.9000414609909058,0.90057373046875,7.20458984375,0.90057373046875,0.09942626953125,0.3249918520450592,2.9999999999999997e-05,5.315441608428955,0.008443199098110199,5.31543493270874,4096,0.3546402081847191,11549.73380194539,,0.905517578125,0.904541015625,0.898681640625,0.897705078125,0.899658203125,0.897216796875,0.895751953125,0.905517578125,0.899985671043396,0.9000458121299744,0.9001631736755371,0.8999796509742737,0.8999546766281128,0.9000806212425232,0.9000279903411865,0.9000939130783081
20,train,3.437141180038452,31.09792759158903,0.154541015625,,,,3.437141180038452,0.16054174304008484,0.0,0.5,0.9005369544029236,0.900665283203125,7.205322265625,0.900665283203125,0.099334716796875,0.32390129566192627,6.599999999999999e-05,1.1197885274887085,0.005496628116816282,1.1197750568389893,86016,0.27700612507760525,14786.676644252817,,0.897705078125,0.9013671875,0.899658203125,0.901611328125,0.904296875,0.905029296875,0.900390625,0.895263671875,0.9002134799957275,0.9004480838775635,0.9006415009498596,0.9004733562469482,0.900445282459259,0.9006849527359009,0.9005489349365234,0.9008402824401855
40,train,3.047893762588501,21.070917297621566,0.234130859375,,,,3.047893762588501,0.16274890303611755,0.0,0.5,0.9018351435661316,0.90338134765625,7.22705078125,0.90338134765625,0.09661865234375,0.3210304081439972,0.00012599999999999997,1.215288519859314,0.05918622389435768,1.2138464450836182,167936,0.2921582078561187,14019.801223647934,,0.894287109375,0.895263671875,0.9052734375,0.90576171875,0.90576171875,0.9130859375,0.903076171875,0.904541015625,0.9010551571846008,0.9015887975692749,0.9018839597702026,0.9017884731292725,0.9017575979232788,0.9018740057945251,0.902027428150177,0.9027058482170105
60,train,2.7831947803497314,16.170600027453247,0.25244140625,,,,2.7831947803497314,0.1663801372051239,0.0,0.5,0.9058130979537964,0.907867431640625,7.262939453125,0.907867431640625,0.092132568359375,0.312075674533844,0.000186,0.94134122133255,0.050656404346227646,0.93997722864151,249856,0.27688283333554864,14793.260927939658,,0.904052734375,0.912841796875,0.905029296875,0.910400390625,0.90673828125,0.906982421875,0.900146484375,0.916748046875,0.9026913046836853,0.9039801359176636,0.9046222567558289,0.904998779296875,0.9058005809783936,0.9069141745567322,0.9076111912727356,0.9098864793777466
80,train,2.625610828399658,13.813008987871116,0.263427734375,,,,2.625610828399658,0.1706884503364563,0.0,0.5,0.9142744541168213,0.9130859375,7.3046875,0.9130859375,0.0869140625,0.2921810746192932,0.00024599999999999996,0.8979768753051758,0.035864830017089844,0.8972604274749756,331776,0.2992196250706911,13688.941689677986,,0.901611328125,0.90283203125,0.91357421875,0.912353515625,0.918701171875,0.917236328125,0.91552734375,0.9228515625,0.9052016735076904,0.9081390500068665,0.9102473258972168,0.9122927784919739,0.9155476689338684,0.918899655342102,0.9200061559677124,0.9238614439964294
100,train,2.593550205230713,13.3771791314996,0.265625,,,,2.593550205230713,0.1819005310535431,0.0,0.5,0.9250884056091309,0.92633056640625,7.41064453125,0.92633056640625,0.07366943359375,0.2649614214897156,0.0002999999722532997,0.986823558807373,0.03836044669151306,0.9860776662826538,413696,0.301059165969491,13605.299100626235,,0.90478515625,0.919921875,0.9189453125,0.921875,0.92529296875,0.938720703125,0.939208984375,0.94189453125,0.9088954925537109,0.9145917892456055,0.9191173911094666,0.922964334487915,0.9277773499488831,0.9337359070777893,0.9356488585472107,0.9379761219024658
120,train,2.5727224349975586,13.10144376230823,0.266845703125,,,,2.5727224349975586,0.19061577320098877,0.0,0.5,0.9357255101203918,0.936492919921875,7.491943359375,0.936492919921875,0.063507080078125,0.23656626045703888,0.0002999877638895945,0.8565990924835205,0.023537447676062584,0.8562756180763245,495616,0.2726377500221133,15023.598161545047,,0.92236328125,0.923095703125,0.9306640625,0.93603515625,0.942138671875,0.943603515625,0.94677734375,0.947265625,0.9137653112411499,0.9236944913864136,0.9312212467193604,0.9370901584625244,0.941214919090271,0.9455336332321167,0.9457143545150757,0.9475699663162231
140,train,2.491262674331665,12.076515203183735,0.286376953125,,,,2.491262674331665,0.19816544651985168,0.0,0.5,0.9446278810501099,0.944976806640625,7.559814453125,0.944976806640625,0.055023193359375,0.21121734380722046,0.0002999533604809292,0.6498194932937622,0.03467828780412674,0.6488935351371765,577536,0.2767496663145721,14800.379182189197,,0.916015625,0.932373046875,0.950927734375,0.951171875,0.9521484375,0.953125,0.9521484375,0.951904296875,0.9196491241455078,0.933091402053833,0.9436212182044983,0.9504026174545288,0.9520082473754883,0.951924204826355,0.9528013467788696,0.953525185585022
160,train,2.497023820877075,12.146290577112728,0.277099609375,,,,2.497023820877075,0.20612597465515137,0.0,0.5,0.9539262652397156,0.953826904296875,7.630615234375,0.953826904296875,0.046173095703125,0.18277579545974731,0.0002998967676840031,0.8337951302528381,0.029108630493283272,0.8332868814468384,659456,0.2884471663273871,14200.174167601446,,0.92431640625,0.944091796875,0.9609375,0.96826171875,0.96240234375,0.956298828125,0.95947265625,0.954833984375,0.9264121055603027,0.9451131820678711,0.9576133489608765,0.9631174206733704,0.960975170135498,0.9581699967384338,0.9594216346740723,0.9605873227119446
180,train,2.4720757007598877,11.847012199896017,0.28076171875,,,,2.4720757007598877,0.2131180465221405,0.0,0.5,0.9627801775932312,0.96148681640625,7.69189453125,0.96148681640625,0.03851318359375,0.15569686889648438,0.0002998179948039535,0.7863627672195435,0.026996653527021408,0.7858992218971252,741376,0.27809241600334644,14728.916591348936,,0.931884765625,0.955322265625,0.96484375,0.972900390625,0.97021484375,0.96484375,0.966552734375,0.96533203125,0.9340296983718872,0.9554564952850342,0.9686543941497803,0.9732755422592163,0.9712262153625488,0.9632123112678528,0.9674850702285767,0.9689017534255981
