step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec
0,grpo_train,-1.3968143463134766,0.173929363489151,-1.3916865587234497,-1.4010401964187622,1.297397255897522,0.09941712021827698,5.917400969224218e-08,1.0992400348186493e-05,0.9995573163032532,-1.4313030987977982e-05,-1.4312438906927127e-05,0.027001313865184784,0.0,0.9999997615814209,9.999977793408364e-05,0.0017761109629645944,0.0017761109629645944,0.0,4096,0.48299245815724134,8480.463681829418,,,,,,,,,
10,grpo_train,-1.2859247922897339,0.19919787347316742,-1.280756950378418,-1.2927272319793701,1.1864984035491943,0.09942626953125,3.655453474493697e-05,4.014815203845501e-06,0.9997097253799438,-5.0487578846514225e-06,-4.6832124098727945e-06,0.028032969683408737,0.0,0.9999995231628418,9.997313267597379e-05,0.004621484316885471,0.004621484316885471,0.0,45056,0.5420989999547601,7555.81545131392,,,,,,,,,
20,grpo_train,-1.3454272747039795,0.18346484005451202,-1.34175443649292,-1.349877119064331,1.2459430694580078,0.09948424994945526,1.669771700107958e-05,-9.103678166866302e-06,0.9996181130409241,7.977709174156189e-06,8.144686034938786e-06,0.02706287056207657,0.0,1.0000007152557373,9.990210436558489e-05,0.002962026046589017,0.002962026046589017,0.0,86016,0.5104176253080368,8024.801254713855,,,,,,,,,
30,grpo_train,-1.3142062425613403,0.14097058773040771,-1.3103256225585938,-1.3184188604354858,1.214770793914795,0.09943541884422302,7.591497706016526e-06,1.5360303223133087e-05,0.9995284676551819,-1.661386340856552e-05,-1.6537947885808535e-05,0.027229156345129013,0.0,1.0000005960464478,9.978676309928387e-05,0.005875368136912584,0.005875368136912584,0.0,126976,0.5557224578224123,7370.585698569925,,,,,,,,,
40,grpo_train,-1.3721257448196411,0.13182486593723297,-1.3665015697479248,-1.379072666168213,1.2727270126342773,0.09939880669116974,1.3214618775236886e-05,-5.507026799023151e-06,0.999764084815979,4.997651558369398e-06,5.129797955305548e-06,0.026759188622236252,0.0,1.0,9.962722270497532e-05,0.005076101049780846,0.005076101049780846,0.0,167936,0.526267375331372,7783.1159444776395,,,,,,,,,
50,grpo_train,-1.339394450187683,0.18698151409626007,-1.3360674381256104,-1.3425792455673218,1.2400048971176147,0.09938964992761612,3.162282155244611e-05,-1.9330531358718872e-05,0.999350905418396,1.8905848264694214e-05,1.9222075934521854e-05,0.027659449726343155,0.0,0.9999998211860657,9.942364062976685e-05,0.0014572329819202423,0.0014572329819202423,0.0,208896,0.5532001657411456,7404.191563305872,,,,,,,,,
60,grpo_train,-1.2923966646194458,0.16194401681423187,-1.2895187139511108,-1.296205759048462,1.1929887533187866,0.09940795600414276,3.2370106055168435e-05,6.90133310854435e-06,0.999559760093689,-6.917514838278294e-06,-6.593813850486185e-06,0.027236824855208397,0.0,1.0,9.917621778458792e-05,0.0022308325860649347,0.0022308325860649347,0.0,249856,0.5213947077281773,7855.852656899999,,,,,,,,,
70,grpo_train,-1.4359421730041504,0.3017220199108124,-1.4323608875274658,-1.4404869079589844,1.336503505706787,0.09943847358226776,3.2567797461524606e-05,-4.3441541492938995e-06,0.9996147155761719,4.005152732133865e-06,4.330830506660277e-06,0.026500508189201355,0.0,0.9999998211860657,9.888519834591501e-05,0.0015592287527397275,0.0015592287527397275,0.0,290816,0.5458985418081284,7503.2257577263435,,,,,,,,,
80,grpo_train,-1.3828566074371338,0.2664152979850769,-1.3797492980957031,-1.3875479698181152,1.28339684009552,0.09945984184741974,5.1984508900204673e-05,4.164990969002247e-06,0.9995588064193726,-3.928900696337223e-06,-3.4090555800503353e-06,0.02652987465262413,0.0,0.9999990463256836,9.85508695147989e-05,0.003528116038069129,0.003528116038069129,0.0,331776,0.650926916860044,6292.565100485285,,,,,,,,,
90,grpo_train,-1.4516451358795166,0.18794967234134674,-1.4466533660888672,-1.4579386711120605,1.3522249460220337,0.09942016750574112,9.503828187007457e-05,-1.1511147022247314e-06,0.9996604323387146,1.521781086921692e-06,2.4721639420022257e-06,0.026382766664028168,0.0,0.9999995231628418,9.817356123343189e-05,0.0038438322953879833,0.0038438322953879833,0.0,372736,0.5171527089551091,7920.291103716424,,,,,,,,,
99,validation,,,,,,,,,,,,0.026486722845584156,,,,,,,,,,1.516985034942627,4.558460855871836,0.54677734375,0.9940814644098281,1.0,8.0,1.0,0.0,0.46578120812773705
100,grpo_train,-1.3812811374664307,0.19410675764083862,-1.3763914108276367,-1.3860230445861816,1.2819007635116577,0.0993804931640625,0.00012488485663197935,7.599592208862305e-07,0.9996829628944397,-1.2265518307685852e-06,2.2296717361314222e-08,0.026871640235185623,0.0,0.9999996423721313,9.775364585953467e-05,0.0030151796527206898,0.0030151796527206898,0.0,413696,0.3695121658965945,11084.885365171544,,,,,,,,,
110,grpo_train,-1.398601770401001,0.07807526737451553,-1.3955614566802979,-1.4018464088439941,1.2992151975631714,0.09938659518957138,0.00012937633437104523,1.666136085987091e-06,0.9995083212852478,-1.8263235688209534e-06,-5.325603069650242e-07,0.026765234768390656,0.0,0.9999999403953552,9.729153779888434e-05,0.0031263609416782856,0.0031263609416782856,0.0,454656,0.5229975418187678,7831.776772326341,,,,,,,,,
