step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
280,train,2.361082077026367,10.602417880348112,0.304443359375,,,,2.361082077026367,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029909200998417515,0.7461526989936829,0.0,0.7461526989936829,1150976,0.2486149170435965,16475.278509864052,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,train,2.3600974082946777,10.591983149200873,0.306884765625,,,,2.3600974082946777,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029888055605748994,0.8680293560028076,0.0,0.8680293560028076,1232896,0.2613856662064791,15670.331351545516,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
320,train,2.301386594772339,9.988022196904527,0.3193359375,,,,2.301386594772339,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029864708913588306,0.7392137050628662,0.0,0.7392137050628662,1314816,0.24395195906981826,16790.191050803318,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
340,train,2.2796356678009033,9.773119098844907,0.33203125,,,,2.2796356678009033,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002983916476066029,0.7875297665596008,0.0,0.7875297665596008,1396736,0.28047291561961174,14603.90566037811,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,train,2.2912678718566895,9.887465777077571,0.313232421875,,,,2.2912678718566895,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002981142734700209,0.7445177435874939,0.0,0.7445177435874939,1478656,0.26390574965626,15520.69254017801,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
380,train,2.250215530395508,9.489780952200206,0.330810546875,,,,2.250215530395508,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002978150123327258,0.6682128310203552,0.0,0.6682128310203552,1560576,0.2540222089737654,16124.574369097869,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,train,2.2296793460845947,9.296884519062512,0.34814453125,,,,2.2296793460845947,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002974939134000249,0.8323900103569031,0.0,0.8323900103569031,1642496,0.25468791695311666,16082.427658921872,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
420,train,2.2764832973480225,9.742359115868906,0.32861328125,,,,2.2764832973480225,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002971510294678535,0.7307873368263245,0.0,0.7307873368263245,1724416,0.30730504216626287,13328.775769920234,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,train,2.200071096420288,9.025655168396895,0.35009765625,,,,2.200071096420288,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029678641691409396,0.8023496270179749,0.0,0.8023496270179749,1806336,0.26212458265945315,15626.157449419532,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,train,2.204340934753418,9.064275649746563,0.353759765625,,,,2.204340934753418,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002964001356893063,0.9308595061302185,0.0,0.9308595061302185,1888256,0.27745020808652043,14763.009291824708,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
480,train,2.171326160430908,8.769906635487558,0.35546875,,,,2.171326160430908,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029599224930687063,0.7692771553993225,0.0,0.7692771553993225,1970176,0.2520932094193995,16247.958481045851,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
499,validation,,,,2.1411103010177612,8.508879803994189,0.3683544921875,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,3.6129123750142753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,train,2.1514172554016113,8.597033960016464,0.363037109375,,,,2.1514172554016113,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029556282483254393,0.7808358669281006,0.0,0.7808358669281006,2052096,0.19245833298191428,21282.528724723546,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
520,train,2.0859298706054688,8.052075389843372,0.37451171875,,,,2.0859298706054688,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029511193287343353,0.8213981986045837,0.0,0.8213981986045837,2134016,0.4804709577001631,8524.968958802501,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540,train,2.144848585128784,8.540747943134683,0.369140625,,,,2.144848585128784,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029463964756638725,0.9470236897468567,0.0,0.9470236897468567,2215936,0.26045237528160214,15726.483567567348,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
560,train,2.139345169067383,8.493873756113693,0.36962890625,,,,2.139345169067383,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002941460465658037,0.8936288356781006,0.0,0.8936288356781006,2297856,0.33820395823568106,12111.035072941573,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
580,train,2.1005802154541016,8.17090942538807,0.385009765625,,,,2.1005802154541016,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029363121103086404,0.8024709820747375,0.0,0.8024709820747375,2379776,0.2583211250603199,15856.233202157018,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
600,train,2.1184139251708984,8.31793415372641,0.376953125,,,,2.1184139251708984,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002930952256121879,0.8003706336021423,0.0,0.8003706336021423,2461696,0.2391011668369174,17130.823969561552,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
620,train,2.0693459510803223,7.919641590521509,0.386474609375,,,,2.0693459510803223,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002925381784379147,0.913354754447937,0.0,0.913354754447937,2543616,0.2937082080170512,13945.81386626487,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
640,train,2.0304946899414062,7.617853902520825,0.395751953125,,,,2.0304946899414062,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002919601610992131,0.8300784826278687,0.0,0.8300784826278687,2625536,0.24545741686597466,16687.21219467778,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
660,train,2.018002986907959,7.523285821727128,0.39013671875,,,,2.018002986907959,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029136126863522205,0.8068584203720093,0.0,0.8068584203720093,2707456,0.24647212494164705,16618.512137913116,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
680,train,2.0045156478881836,7.422497923425323,0.410400390625,,,,2.0045156478881836,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029074159951742346,0.829626739025116,0.0,0.829626739025116,2789376,0.24899141676723957,16450.36625430745,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,train,1.9811992645263672,7.251434160364105,0.4052734375,,,,1.9811992645263672,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002901012556334517,0.8495062589645386,0.0,0.8495062589645386,2871296,0.24167729215696454,16948.220345582697,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
720,train,1.9730913639068604,7.192877957560014,0.4150390625,,,,1.9730913639068604,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00028944034227034083,0.8780775666236877,0.0,0.8780775666236877,2953216,0.23515987489372492,17417.937485513175,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
740,train,1.9240899085998535,6.848912692135086,0.4228515625,,,,1.9240899085998535,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00028875896809721314,0.850955605506897,0.0,0.850955605506897,3035136,0.23598549980670214,17356.998643370338,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
749,validation,,,,1.9982959365844726,7.376475400955116,0.4093701171875,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,3.7871799170970917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
760,train,1.9782094955444336,7.22978642442688,0.41943359375,,,,1.9782094955444336,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00028805724514741114,0.83962482213974,0.0,0.83962482213974,3117056,0.2638003337197006,15526.894686767833,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
780,train,1.9373021125793457,6.940002346141187,0.41455078125,,,,1.9373021125793457,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002873352888000772,0.7239591479301453,0.0,0.7239591479301453,3198976,0.24437979189679027,16760.79666083797,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
