step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.167469024658203,64.55186599741675,0.025146484375,,,,4.167469024658203,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,2.9999999999999997e-05,5.911305904388428,0.0,5.911305904388428,4096,0.32230104180052876,12708.615451932059,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,train,3.3857929706573486,29.54140890118604,0.1640625,,,,3.3857929706573486,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,6.599999999999999e-05,1.277874231338501,0.0,1.277874231338501,86016,0.24339875020086765,16828.35263788219,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,train,2.982703685760498,19.741118337324494,0.244140625,,,,2.982703685760498,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00012599999999999997,1.1364046335220337,0.0,1.1364046335220337,167936,0.25653349980711937,15966.72560534851,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,train,2.7767271995544434,16.066352842198658,0.251220703125,,,,2.7767271995544434,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.000186,0.8171440958976746,0.0,0.8171440958976746,249856,0.23979541705921292,17081.227198719025,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,train,2.6163241863250732,13.685326306737002,0.272705078125,,,,2.6163241863250732,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00024599999999999996,0.8404345512390137,0.0,0.8404345512390137,331776,0.2382151666097343,17194.539114759384,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,train,2.575377941131592,13.136280961309728,0.2763671875,,,,2.575377941131592,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999999722532997,0.725184440612793,0.0,0.725184440612793,413696,0.24444908322766423,16756.045659558673,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,train,2.4977340698242188,12.154920531552065,0.278076171875,,,,2.4977340698242188,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999877638895945,0.7383285760879517,0.0,0.7383285760879517,495616,0.2616848750039935,15652.413995793573,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,train,2.4936904907226562,12.105870384816644,0.28466796875,,,,2.4936904907226562,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999533604809292,0.6402791738510132,0.0,0.6402791738510132,577536,0.240148541983217,17056.110214844663,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,train,2.480456829071045,11.946720780797929,0.275634765625,,,,2.480456829071045,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002998967676840031,0.7056719064712524,0.0,0.7056719064712524,659456,0.30279058311134577,13527.501277983172,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,train,2.435708522796631,11.423909947240906,0.283935546875,,,,2.435708522796631,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002998179948039535,0.6901118755340576,0.0,0.6901118755340576,741376,0.22856116574257612,17920.804641910356,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
