step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.176833152770996,65.15917697165864,0.025634765625,,,,4.176833152770996,0.1603260189294815,0.0,0.5,0.8999077081680298,0.900390625,7.203125,0.900390625,0.099609375,0.3252846300601959,2.9999999999999997e-05,5.408584117889404,0.011183120310306549,5.408572196960449,4096,0.5682192919775844,7208.4845724695715,,0.905517578125,0.904541015625,0.898193359375,0.897216796875,0.900634765625,0.89697265625,0.895751953125,0.904296875,0.9000058174133301,0.9000428915023804,0.8998432159423828,0.8998961448669434,0.900390088558197,0.8994234800338745,0.899985671043396,0.8996737599372864
20,train,3.3906970024108887,29.686636718340264,0.156494140625,,,,3.3906970024108887,0.1651347577571869,0.0,0.5,0.9064667224884033,0.906341552734375,7.250732421875,0.906341552734375,0.093658447265625,0.3105231821537018,6.599999999999999e-05,1.1247056722640991,0.011955388821661472,1.1246421337127686,86016,0.2725293328985572,15029.574822041788,,0.897705078125,0.90283203125,0.90283203125,0.906494140625,0.911865234375,0.911865234375,0.908935546875,0.908203125,0.9000990986824036,0.9017660617828369,0.9032870531082153,0.9069360494613647,0.9072637557983398,0.9087936878204346,0.9103479981422424,0.9132404923439026
40,train,3.035377264022827,20.808826840545237,0.22265625,,,,3.035377264022827,0.16848188638687134,0.0,0.5,0.9094133377075195,0.91033935546875,7.28271484375,0.91033935546875,0.08966064453125,0.30340704321861267,0.00012599999999999997,1.2107564210891724,0.057299088686704636,1.2093998193740845,167936,0.2760903746820986,14835.721834621349,,0.89404296875,0.897216796875,0.906005859375,0.909423828125,0.9130859375,0.918212890625,0.919921875,0.9248046875,0.9007091522216797,0.9026293158531189,0.9037941694259644,0.9068746566772461,0.9086401462554932,0.911526083946228,0.9172104597091675,0.9239222407341003
60,train,2.7963247299194336,16.3843191808343,0.25341796875,,,,2.7963247299194336,0.17746302485466003,0.0,0.5,0.919496476650238,0.921051025390625,7.368408203125,0.921051025390625,0.078948974609375,0.2772517502307892,0.000186,1.002536416053772,0.044744718819856644,1.0015373229980469,249856,0.3266174173913896,12540.666179757687,,0.90380859375,0.91259765625,0.90673828125,0.91748046875,0.921142578125,0.927490234375,0.931884765625,0.947265625,0.9018548727035522,0.9049419164657593,0.9078943133354187,0.9136699438095093,0.9190495014190674,0.9267241954803467,0.9355838894844055,0.9462522268295288
80,train,2.654876947402954,14.223235745545512,0.264404296875,,,,2.654876947402954,0.18421348929405212,0.0,0.5,0.9284018874168396,0.928680419921875,7.429443359375,0.928680419921875,0.071319580078125,0.25245749950408936,0.00024599999999999996,1.0975522994995117,0.04183189198374748,1.096754789352417,331776,0.2771225832402706,14780.462682280531,,0.900390625,0.901611328125,0.91455078125,0.925048828125,0.9326171875,0.941650390625,0.951171875,0.96240234375,0.9034342169761658,0.907529354095459,0.9124823212623596,0.9193560481071472,0.9292311668395996,0.9415515065193176,0.9510130882263184,0.9626175165176392
100,train,2.5867271423339844,13.286216471769654,0.269287109375,,,,2.5867271423339844,0.19072288274765015,0.0,0.5,0.9361873865127563,0.93603515625,7.48828125,0.93603515625,0.06396484375,0.22928182780742645,0.0002999999722532997,0.9511352181434631,0.03150979429483414,0.9506131410598755,413696,0.3283572909422219,12474.216693183575,,0.900634765625,0.918212890625,0.91796875,0.92236328125,0.934326171875,0.95458984375,0.967041015625,0.97314453125,0.9052373170852661,0.911928653717041,0.918153703212738,0.9260431528091431,0.9375841617584229,0.9527674913406372,0.964747428894043,0.9730379581451416
120,train,2.532839059829712,12.589196931841231,0.270263671875,,,,2.532839059829712,0.19391492009162903,0.0,0.5,0.9399629831314087,0.939666748046875,7.517333984375,0.939666748046875,0.060333251953125,0.21677260100841522,0.0002999877638895945,0.810069739818573,0.032465264201164246,0.8094189167022705,495616,0.28962258296087384,14142.543575593148,,0.91455078125,0.91015625,0.91748046875,0.926025390625,0.943603515625,0.9580078125,0.9716796875,0.975830078125,0.9070489406585693,0.9127222299575806,0.91898512840271,0.9288511872291565,0.942717432975769,0.9602290391921997,0.9705716371536255,0.9785788059234619
140,train,2.5231752395629883,12.468123155246909,0.281005859375,,,,2.5231752395629883,0.19518104195594788,0.0,0.5,0.9410900473594666,0.9410400390625,7.5283203125,0.9410400390625,0.0589599609375,0.21289105713367462,0.0002999533604809292,1.0110254287719727,0.03725452721118927,1.0103387832641602,577536,0.3970055407844484,10317.236358733586,,0.90625,0.912353515625,0.930419921875,0.92431640625,0.942138671875,0.960205078125,0.97216796875,0.98046875,0.9088577628135681,0.9147266149520874,0.9212667942047119,0.9248600602149963,0.9436768293380737,0.9624143838882446,0.9714509844779968,0.9814673662185669
160,train,2.509190082550049,12.29496811765421,0.260498046875,,,,2.509190082550049,0.199899822473526,0.0,0.5,0.9460948705673218,0.9461669921875,7.5693359375,0.9461669921875,0.0538330078125,0.19646799564361572,0.0002998967676840031,0.6885961890220642,0.032106734812259674,0.6878473162651062,659456,0.28547425009310246,14348.054154320962,,0.90478515625,0.914794921875,0.926025390625,0.93408203125,0.951416015625,0.97216796875,0.98095703125,0.985107421875,0.9105550646781921,0.9161056876182556,0.9244546890258789,0.9324659109115601,0.9493317008018494,0.9700000882148743,0.9792430996894836,0.9866023063659668
180,train,2.487888813018799,12.035839371636891,0.275146484375,,,,2.487888813018799,0.2001570463180542,0.0,0.5,0.9482203722000122,0.946380615234375,7.571044921875,0.946380615234375,0.053619384765625,0.1884033977985382,0.0002998179948039535,0.7480229735374451,0.02741704322397709,0.747520387172699,741376,0.3234853339381516,12662.088726356695,,0.9052734375,0.919189453125,0.921142578125,0.927978515625,0.953857421875,0.97265625,0.984130859375,0.98681640625,0.9117171764373779,0.919508695602417,0.926210343837738,0.9294910430908203,0.9543592929840088,0.972341775894165,0.9835175275802612,0.9886168241500854
200,train,2.4383325576782227,11.453926049853628,0.28662109375,,,,2.4383325576782227,0.2016679346561432,0.0,0.5,0.948983371257782,0.9481201171875,7.5849609375,0.9481201171875,0.0518798828125,0.18340493738651276,0.00029971705479282546,0.7133298516273499,0.03146131709218025,0.7126357555389404,823296,0.2869126247242093,14276.12327598767,,0.9091796875,0.9248046875,0.9248046875,0.921875,0.96044921875,0.972900390625,0.984619140625,0.986328125,0.9129351377487183,0.9191865921020508,0.926927924156189,0.9275933504104614,0.9559887051582336,0.9748108386993408,0.9841116666793823,0.9903120398521423
