step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec,estimated_block_flops,estimated_flops_vs_dense,budget_3_depth,budget_3_ce,budget_3_reward,budget_3_flops_vs_dense,budget_4_depth,budget_4_ce,budget_4_reward,budget_4_flops_vs_dense,budget_5_depth,budget_5_ce,budget_5_reward,budget_5_flops_vs_dense,budget_8_depth,budget_8_ce,budget_8_reward,budget_8_flops_vs_dense
0,grpo_train,-3.189589023590088,0.15458962321281433,-3.0410726070404053,-3.3333044052124023,2.563581943511963,0.626007080078125,1.0309697699995013e-06,3.46451997756958e-07,0.9999878406524658,0.3342171311378479,0.3342171311378479,0.16018567979335785,0.8357747197151184,1.0024949312210083,9.999753262144806e-05,0.05927091836929321,0.05927091836929321,0.0,4096,1.1789710419252515,3474.215951319093,,,,,,,,,,,,3.11328125,2.9384779930114746,-3.3276381492614746,0.8908025568181818,4.0068359375,2.680147409439087,-3.181001901626587,1.0938831676136365,4.912109375,2.5065319538116455,-3.1205453872680664,1.2996271306818181,8.0,2.1291699409484863,-3.1291699409484863,2.0014204545454546
10,grpo_train,-3.222334384918213,0.18041765689849854,-3.0721628665924072,-3.4221153259277344,2.596815586090088,0.625518798828125,0.0005788147682324052,4.3259933590888977e-07,0.9999877214431763,0.3627236485481262,0.36272943019866943,0.16374436020851135,0.8386433720588684,1.0002597570419312,9.970177445201784e-05,0.055733926594257355,0.055733926594257355,0.0,45056,0.9256187081336975,4425.148243015383,,,,,,,,,,,,3.1064453125,2.9847657680511475,-3.3730714321136475,0.8892489346590909,4.0,2.7144546508789062,-3.2144546508789062,1.0923295454545454,4.91015625,2.548776149749756,-3.1625454425811768,1.2991832386363635,8.0,2.139265537261963,-3.139265537261963,2.0014204545454546
20,grpo_train,-3.243136405944824,0.16673366725444794,-3.109562397003174,-3.4021685123443604,2.617403984069824,0.625732421875,0.0023266449570655823,3.110617399215698e-07,0.9999875426292419,0.4562374949455261,0.4562607705593109,0.17327220737934113,0.8368936777114868,0.9960798621177673,9.891625428724362e-05,0.06269162893295288,0.06269162893295288,0.0,86016,1.1427912921644747,3584.2065196717376,,,,,,,,,,,,3.109375,3.01004695892334,-3.39871883392334,0.8899147727272727,4.0048828125,2.6745095252990723,-3.1751198768615723,1.0934392755681819,4.9091796875,2.6291446685791016,-3.2427921295166016,1.2989612926136365,8.0,2.155914783477783,-3.155914783477783,2.0014204545454546
30,grpo_train,-3.261784076690674,0.20177572965621948,-3.1170828342437744,-3.4068896770477295,2.636326313018799,0.625457763671875,0.005164093337953091,-4.332105163484812e-07,0.9999891519546509,0.39971596002578735,0.39976760745048523,0.17509058117866516,0.8340250849723816,0.9890371561050415,9.764957845043135e-05,0.06908822804689407,0.06908822804689407,0.0,126976,0.9423862919211388,4346.41296792416,,,,,,,,,,,,3.1005859375,2.9849488735198975,-3.3725221157073975,0.8879172585227273,4.0146484375,2.7812538146972656,-3.2830848693847656,1.0956587357954546,4.8994140625,2.5786542892456055,-3.1910810470581055,1.2967418323863635,8.0,2.2004482746124268,-3.2004482746124268,2.0014204545454546
40,grpo_train,-3.225792407989502,0.16288600862026215,-3.0995490550994873,-3.37794828414917,2.599937915802002,0.6258544921875,0.009960374794900417,-7.207272574305534e-07,0.999989926815033,0.27143797278404236,0.27153757214546204,0.18481382727622986,0.8297322392463684,1.0054115056991577,9.591562490711808e-05,0.07125553488731384,0.07125553488731384,0.0,167936,0.9605128751136363,4264.388438848788,,,,,,,,,,,,3.1181640625,2.9856088161468506,-3.3753793239593506,0.8919122869318182,4.0087890625,2.702113628387451,-3.203212261199951,1.0943270596590908,4.900390625,2.501411199569702,-3.113960027694702,1.2969637784090908,8.0,2.210618257522583,-3.210618257522583,2.0014204545454546
49,validation,,,,,,,,,,,,0.17442674115300177,,,,,,,,,,2.1413848876953123,8.511216549834206,0.371337890625,0.5503837078809738,0.542425537109375,4.339404296875,0.542425537109375,0.457574462890625,4.0919289998710155,431648768.0,1.1694668856534092,,,,,,,,,,,,,,,,
50,grpo_train,-3.2480275630950928,0.19521702826023102,-3.045191764831543,-3.4536352157592773,2.6219286918640137,0.6260986328125,0.014426898211240768,-7.2177499532699585e-09,0.9999924302101135,0.4240660071372986,0.4242102801799774,0.18701177835464478,0.8322550058364868,0.9944226145744324,9.373339121517747e-05,0.06428690999746323,0.06428690999746323,0.0,208896,1.0196604589000344,4017.023475067953,,,,,,,,,,,,3.1318359375,3.02882719039917,-3.42030668258667,0.89501953125,3.9990234375,2.817920684814453,-3.317798614501953,1.0921075994318181,4.904296875,2.517089605331421,-3.130126714706421,1.2978515625,8.0,2.123878240585327,-3.123878240585327,2.0014204545454546
60,grpo_train,-3.1613311767578125,0.1613212376832962,-3.047285556793213,-3.2849645614624023,2.5353240966796875,0.626007080078125,0.02161921188235283,-1.0523945093154907e-06,0.9999866485595703,0.32363641262054443,0.3238525986671448,0.1919124722480774,0.8214111328125,0.9953999519348145,9.112678638360019e-05,0.06730441004037857,0.06730441004037857,0.0,249856,0.9497008332982659,4312.937144400291,,,,,,,,,,,,3.119140625,2.8927178382873535,-3.2826104164123535,0.8921342329545454,3.9990234375,2.6376755237579346,-3.1375534534454346,1.0921075994318181,4.9140625,2.481478691101074,-3.095736503601074,1.3000710227272727,8.0,2.1294240951538086,-3.1294240951538086,2.0014204545454546
70,grpo_train,-3.2411439418792725,0.18384423851966858,-3.0974550247192383,-3.401789903640747,2.6141605377197266,0.626983642578125,0.028694774955511093,-7.450580596923828e-09,0.9999902844429016,0.3613358736038208,0.36162281036376953,0.1994786560535431,0.8218587636947632,0.9955871105194092,8.812436892038808e-05,0.06922652572393417,0.06922652572393417,0.0,290816,1.0591389583423734,3867.2923583233373,,,,,,,,,,,,3.119140625,2.9976086616516113,-3.3875012397766113,0.8921342329545454,4.0087890625,2.7274937629699707,-3.2285923957824707,1.0943270596590908,4.935546875,2.5270771980285645,-3.1440205574035645,1.3049538352272727,8.0,2.2044618129730225,-3.2044620513916016,2.0014204545454546
80,grpo_train,-3.317775011062622,0.17346087098121643,-3.1887123584747314,-3.4780232906341553,2.692897081375122,0.6248779296875,0.036405935883522034,4.983739927411079e-07,0.9999889731407166,0.10449334979057312,0.10485740751028061,0.20633359253406525,0.8196614980697632,0.9980939626693726,8.475903393956435e-05,0.05798433721065521,0.05798433721065521,0.0,331776,1.08330766716972,3781.0126560825743,,,,,,,,,,,,3.09765625,3.0522327423095703,-3.4394397735595703,0.8872514204545454,3.98828125,2.7649080753326416,-3.2634432315826416,1.0896661931818181,4.91015625,2.62463116645813,-3.238400459289551,1.2991832386363635,8.0,2.3298163414001465,-3.3298163414001465,2.0014204545454546
90,grpo_train,-3.207186222076416,0.18480274081230164,-3.037835121154785,-3.4338722229003906,2.582644462585449,0.624542236328125,0.0422155000269413,1.6530975699424744e-08,0.9999921321868896,0.33574432134628296,0.33616647124290466,0.2082650065422058,0.8199462890625,1.0002336502075195,8.106765275542056e-05,0.07125389575958252,0.07125389575958252,0.0,372736,1.1376721248961985,3600.334323365548,,,,,,,,,,,,3.103515625,3.0459327697753906,-3.4338722229003906,0.8885830965909091,3.9931640625,2.702709913253784,-3.201855421066284,1.0907759232954546,4.888671875,2.4353113174438477,-3.0463953018188477,1.2943004261363635,8.0,2.1466236114501953,-3.1466236114501953,2.0014204545454546
99,validation,,,,,,,,,,,,0.19550869092345238,,,,,,,,,,2.148364949226379,8.57083318690419,0.369873046875,0.5407740205526352,0.52659912109375,4.21279296875,0.52659912109375,0.47340087890625,4.583503541070968,421027840.0,1.1406915838068181,,,,,,,,,,,,,,,,
100,grpo_train,-3.208202362060547,0.1286977380514145,-3.0977683067321777,-3.320861577987671,2.583690881729126,0.62451171875,0.049937304109334946,4.1909515857696533e-07,0.9999843239784241,0.26336196064949036,0.2638613283634186,0.21315579116344452,0.8138631582260132,0.9945418834686279,7.709066891268137e-05,0.06810249388217926,0.06810249388217926,0.0,413696,1.1808621669188142,3468.6520702814637,,,,,,,,,,,,3.091796875,2.8941617012023926,-3.2806363105773926,0.8859197443181818,3.984375,2.678058385848999,-3.176105260848999,1.0887784090909092,4.908203125,2.577406406402588,-3.190931797027588,1.2987393465909092,8.0,2.1851372718811035,-3.1851370334625244,2.0014204545454546
110,grpo_train,-3.2208707332611084,0.15346480906009674,-3.106365919113159,-3.3613507747650146,2.5959317684173584,0.62493896484375,0.05401486158370972,1.0244548320770264e-07,0.9999882578849792,0.30469298362731934,0.3052331209182739,0.21275675296783447,0.8154093027114868,0.991187572479248,7.287165507856516e-05,0.06549222767353058,0.06549222767353058,0.0,454656,1.042959333397448,3927.286394434238,,,,,,,,,,,,3.09765625,2.9601292610168457,-3.347336530685425,0.8872514204545454,4.0029296875,2.7209413051605225,-3.2213075160980225,1.0929953835227273,4.8974609375,2.511521577835083,-3.123704195022583,1.2962979403409092,8.0,2.1911349296569824,-3.1911349296569824,2.0014204545454546
