model,router_type,training_method,seed,target_density,actual_density,lambda_density,lambda_grpo,val_loss,val_perplexity,val_accuracy,layers_per_token,compute_fraction,skip_fraction,parameter_count,active_parameter_estimate,training_time_sec,seconds_per_step,tokens_per_sec,generation_tokens_per_sec,generation_ms_per_token,mean_reward,pearson_nll_depth,spearman_nll_depth,checkpoint,source
dense,none,supervised,42,1.0,1.0,0.0,nan,2.0018251061439516,7.40255422462401,0.4123291015625,4.0,1.0,0.0,1344384,1344384.0,66.26440787501633,0.0626823996854946,61812.97217241587,51.48612776603793,19.422707501798868,nan,nan,nan,experiments/paper_core_1000/paper_dense_L04_seed42/checkpoints/best_val_loss.pt,experiments/paper_core_1000/paper_dense_L04_seed42/summary.json
sparse,linear,supervised,42,0.5,0.4991876220703125,0.1,nan,2.8644146728515625,17.538784272951993,0.1964794921875,3.9935009765625,0.4991876220703125,0.5008123779296875,2665856,1308493.728125,234.9435199587606,0.14978960803709923,17433.977326631382,12.012582760228318,83.246044581756,nan,0.08035030689072616,0.07055019063879577,experiments/paper_core_1000/paper_skip_L08_P050_Eff04_seed42/checkpoints/best_val_loss.pt,experiments/paper_core_1000/paper_skip_L08_P050_Eff04_seed42/summary.json
