model,router_type,training_method,seed,target_density,actual_density,lambda_density,lambda_grpo,val_loss,val_perplexity,val_accuracy,layers_per_token,compute_fraction,skip_fraction,parameter_count,active_parameter_estimate,training_time_sec,seconds_per_step,tokens_per_sec,generation_tokens_per_sec,generation_ms_per_token,mean_reward,pearson_nll_depth,spearman_nll_depth,checkpoint,source,paper_reproduction,n_layers,effective_target_depth,learning_rate,estimated_executed_block_flops_per_sequence,dense_block_flops_per_sequence,grpo_variant,depth_budgets,exploration_epsilon,clip_fraction,mean_probability_ratio
dense,none,supervised,42,1.0,1.0,0.0,nan,2.141210126876831,8.509729252628107,0.37060546875,4.0,1.0,0.0,1344384,1344384.0,59.28583687543869,0.05607586762681603,69089.01376572988,98.68838212282526,10.132904993370175,nan,nan,nan,experiments/paper_core_scaled_lr001_1000/paper_dense_L04_seed42/checkpoints/best_val_loss.pt,experiments/paper_core_scaled_lr001_1000/paper_dense_L04_seed42/summary.json,True,nan,nan,nan,369098752.0,369098752.0,nan,nan,nan,nan,nan
sparse,linear,supervised,42,0.5,0.557818603515625,0.1,nan,2.13893266916275,8.4903707565425,0.372119140625,4.462548828125,0.557818603515625,0.442181396484375,2665856,1499006.5062499999,195.48475349973887,0.11854521972034127,20953.040718878732,26.313065264405658,38.00393416546285,nan,-0.0024742058092065587,-0.005067501996472867,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42/checkpoints/best_val_loss.pt,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42/summary.json,True,nan,nan,nan,441978880.0,738197504.0,nan,nan,nan,nan,nan
sparse,linear,grpo,42,0.5,0.5319091796875,0.1,0.1,2.142747497558594,8.522821922455488,0.37177734375,4.2552734375,0.5319091796875,0.4680908203125,2665856,1430635.4749999999,321.4526285408065,0.9782570680323989,3822.6472297892915,26.20371343346413,38.162529999390244,-2.635483741760254,-0.03597586000161515,-0.04390326052594911,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42_budget_grpo_lam0.1/checkpoints/best_quality_compute.pt,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42_budget_grpo_lam0.1/summary.json,True,8,nan,1e-05,424591360.0,nan,budget_guided_per_decision,"[3, 4, 5, 8]",0.8,0.7999674081802368,1.0009183883666992
sparse,linear,grpo,42,0.5,0.52659912109375,0.1,1.0,2.148364949226379,8.57083318690419,0.369873046875,4.21279296875,0.52659912109375,0.47340087890625,2665856,1416623.0374999999,332.18378204107285,1.0040821511174243,3699.1571125169053,30.56819162091164,32.7137441560626,-3.19851016998291,-0.0570657072214557,-0.07284512758492655,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42_budget_grpo_lam1/checkpoints/best_quality_compute.pt,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42_budget_grpo_lam1/summary.json,True,8,nan,1e-05,421027840.0,nan,budget_guided_per_decision,"[3, 4, 5, 8]",0.8,0.793212890625,0.9983811378479004
sparse,linear,grpo,42,0.5,0.50888671875,0.1,2.0,2.1596176743507387,8.667823093790268,0.3650390625,4.07109375,0.50888671875,0.49111328125,2665856,1369882.7,300.7996725831181,0.9140575129290421,4085.110829568651,28.167013301600093,35.502521665766835,-3.8203179836273193,-0.04833670117008867,-0.06892882731736837,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42_budget_grpo_lam2/checkpoints/best_quality_compute.pt,experiments/paper_core_scaled_lr001_1000/paper_skip_L08_P050_Eff04_seed42_budget_grpo_lam2/summary.json,True,8,nan,1e-05,409141248.0,nan,budget_guided_per_decision,"[3, 4, 5, 8]",0.8,0.7906697988510132,0.9978942275047302
