step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_0_soft_probability,layer_1_soft_probability
0,train,4.1790642738342285,65.30471728251578,0.0,,,,4.1790642738342285,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,2.0477335453033447,0.0,2.0477335453033447,64,0.47883420810103416,133.6579528305045,,1.0,1.0,1.0,1.0
1,train,4.118679523468018,61.47800837521755,0.03125,,,,4.118679523468018,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,1.8381248712539673,0.0,1.8381248712539673,128,0.015225749928504229,4203.405434906374,,1.0,1.0,1.0,1.0
1,validation,,,,4.019653797149658,55.68182528287339,0.09375,,0.0,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,0.005961042363196611,1.0,1.0,1.0,1.0
