model,router_type,training_method,target_density,lambda_density,lambda_grpo,num_seeds,val_loss_mean,val_loss_std,val_perplexity_mean,val_perplexity_std,val_accuracy_mean,val_accuracy_std,layers_per_token_mean,layers_per_token_std,compute_fraction_mean,compute_fraction_std,skip_fraction_mean,skip_fraction_std,training_time_sec_mean,training_time_sec_std,seconds_per_step_mean,seconds_per_step_std,tokens_per_sec_mean,tokens_per_sec_std,generation_tokens_per_sec_mean,generation_tokens_per_sec_std
dense,none,supervised,1.0,0.0,nan,3,1.5212085469563803,0.0038685498043487154,4.577777118654952,0.017706805446434652,0.5487923177083333,0.0007202493260636664,8.0,0.0,1.0,0.0,0.0,0.0,1404.6230234165366,27.938929210040715,0.26102192060640084,0.004589928158113511,14584.249984421294,288.4995213962358,113.66451704038029,83.86992375222908
sparse,gru,supervised,0.5,0.1,nan,3,1.5234299365679425,0.003948449625956733,4.587958420800425,0.018132614738308312,0.5471061197916667,0.001027832997760347,8.0,0.0,1.0,0.0,0.0,0.0,1594.0166621666092,145.94513295054276,0.29519192977370695,0.026937022844002564,12918.865881353528,1161.6430312657988,70.54064571118799,25.897680096779947
sparse,gru,grpo,0.5,0.1,0.1,3,1.5234299365679425,0.003948449625956733,4.587958420800425,0.018132614738308312,0.5471061197916667,0.001027832997760347,8.0,0.0,1.0,0.0,0.0,0.0,564.9688112917356,41.10683710100286,0.5510366159486585,0.04018438317193275,7274.714611201885,510.48448786719695,97.88825423326095,10.487397317584112
sparse,linear,supervised,0.5,0.1,nan,3,1.5355067825317381,0.004987989705102831,4.643716756764,0.023141328968486755,0.543271484375,0.0016730100397423342,7.754418945312499,0.1110049193855838,0.9693023681640623,0.013875614923197974,0.0306976318359375,0.013875614923197992,1556.5505069171388,41.59790174901346,0.30054280425710256,0.028046537856107126,12737.166057084605,1069.7194107427401,99.53390922387247,28.75019327002078
